year,quarter,sentence,prosus_score,prosus_label
2024,3,"For the third quarter , our provision for credit losses was $397 million, primarily driven by net charge of fs in our credit card portfolio and partially of fset by $70 million of net recoveries on previously impaired wholesale loans.",0.9211617112159729,negative
2024,3,Quarterly non-compensation expenses were $4.2 billion down 14% year-over-year .,0.976486086845398,negative
2024,4,"Baseline revenues are shown in gray , which represent the sum of the trailing 10-year lows for each of the businesses that are considered to be more cyclical advisory , underwriting and intermediation.",0.5788041353225708,negative
2024,4,"Last month, trade groups representing the major U.S. banks, including Goldman Sachs, ﬁled suit against the Federal Reserve.",0.7343034744262695,negative
2024,4,"W e have long been concerned that the lack of transparency and the Fed's current stress testing creates uncertainty and at times produces results we cannot understand and which can lead to higher industry-wide borrowing costs, reduced market liquidity and inefﬁcient capital allocations.",0.9681801199913025,negative
2024,4,"In closing, I'm very conﬁdent about the trajectory of Goldman Sachs.",0.619707465171814,negative
2024,4,"In aggregate, these select items had a de minimis impact on the ﬁrm's full year results.",0.7084068059921265,negative
2024,4,"Alternative assets under supervision totaled $336 billion at the end of the fourth quarter , driving $621 million in management and other fees.",0.49651622772216797,negative
2024,4,"Our provision for credit losses was $351 million in the quarter , primarily driven by net charge-of fs in our credit card portfolio and balance growth, partially of fset by reserve releases in the wholesale portfolio.",0.8856135606765747,negative
2024,4,"Quarterly non- compensation expenses were $4.5 billion, down 8% year-over-year .",0.9764842391014099,negative
2025,1,This quarter was characterized by rapidly shifting sentiment with the market backdrop ending in a very different place than where it started.,0.9022011756896973,negative
2025,1,"Turning to the macroeconomic backdrop more broadly , as I said at the outset, we are entering the second quarter with a markedly dif ferent operating environment than earlier this year .",0.8712012767791748,negative
2025,1,Our economists' expectation for growth in the US has fallen meaningfully from over 2% to 0.5%.,0.9714909791946411,negative
2025,1,The prospect of a recession has increased with growing indications that economic activity is slowing down around the world.,0.9660714268684387,negative
2025,1,"Our clients, including corporate CEOs and institutional investors are concerned by the signiﬁcant near-term and longer-term uncertainty that has constrained their ability to make important decisions.",0.9576128125190735,negative
2025,1,This uncertainty around the path forward and fears over the potentially escalating ef fects of the trade war have created material risks to the US and global economy .,0.950573742389679,negative
2025,1,"W e provide details on selected items in the bottom table, which in total reduced our EPS by $0.25 and ROE by 30 basis points.",0.9064860939979553,negative
2025,1,"Turning to Page 4, advisory revenues of $792 million were down versus a strong performance a year ago.",0.9757863879203796,negative
2025,1,"Intermediation results were driven by higher client activity in currencies and mortgages, of fset by lower performance in credit, rates and commodities versus a strong prior year .",0.9486674666404724,negative
2025,1,Total assets under supervision ended the quarter at a record $3.2 trillion.,0.5418248176574707,negative
2025,1,"Alternative assets under supervision totaled $341 billion at the end of the ﬁrst quarter , driving $523 million in Management and Other fees.",0.6474025249481201,negative
2025,1,"Our provision for credit losses of $287 million, primarily reﬂects net provisions related to the credit card portfolio, which were driven by net charge-of fs, partially of fset by releases following a seasonal paydown of card balances.",0.9343108534812927,negative
2025,1,"Total quarterly operating expenses were $9.1 billion, resulting in an efﬁciency ratio of 60.6%.",0.9574053883552551,negative
2025,1,Our ef fective tax rate for the quarter of 16.1% beneﬁted from the impact of employee stock-based compensation.,0.7418485879898071,negative
2025,1,Now on to Slide 1 1.,0.7688351273536682,negative
