question_order,question_answer_group_id,speaker,role,company,content,year,quarter
2,2,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah, I mean the only thing I would add is that certain, obviously, risks that we take kind of price themselves. So if you look at our bridge book,
it's sm aller than it was because we priced ourself out of the market, and that was a good thing because a lot of people will lose a lot of money
there, and we lost a little. So we are very conscious of that kind of thing all the time.",2022,2
3,2,Glenn Schorr,Analyst,Ever core ISI,"Well, I appreciate that. And did you all consider a CECL reserve and increasing the probability to the core scenario in this quarter? And just
curious on how you thought about that. Thanks.",2022,2
4,2,Jamie Dimon,"Chairman, Chief Executive Officer",JPMo rgan Chase & Co.,"Yes, but we didn't do it. And obviously, what we do in the future quarters will remain to be seen.",2022,2
5,2,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah. And, Glenn, just remember that we did do that last quarter, right? So we already introduced a sort of skew to the outlook beyond what's
implied by the market to reflect our own slightly more negative view. And in a sense, arguably we were sort of early on that, so it really wasn't
necessary t his quarter.",2022,2
6,2,Glenn Schorr,Analyst,Evercore ISI,All right. Thank you both.,2022,2
0,3,John E. McDonald,Analyst,Autonomous Research,"Hi. Good morning. Jerem y, just wondering if you could talk about the deposit trends you're seeing, the differences between commercial
deposits, wealth management and retail in terms of flows and repricing pressures.",2022,2
1,3,Jeremy  Barnum,"Chief Financial Officer, Member -Operating Comm ittee",JPMorgan Chase & Co.,"Yeah. Great question, John. And I think you're right to break it down by the different segments because we are seeing different dynamics
there. So on the wholesale side, you do see some lower deposits, some deposit attrition,  and that is entirely expected and part of the plan in
the sense that, for client reasons, we had slightly higher appetite, especially in parts of the C ommercial Bank, for non- operating deposits,
knowi ng fully that our pricing strategy as rates went up was  going to be not pay off. And therefore, we expected the attrition from that client
base. And so we're seeing that, and that's actually something that we want, all else equal, and is playing out in line with expectations.
You do see a little bit of a decl ine or a little bit of a headwind in Wealth Management. I think that's just seasonal tax payments being a little bit
higher than usual. And then on the consumer side, we're really not seeing much at all. So that remains strong. We're not seeing any attriti on
there. And it's early in the cycle to really be observing much one way or the other from a pricing perspective.",2022,2
2,3,John E. McDonald,Analyst,Autonomous Research,"Okay. And then as a follow up, in  terms of the updated NII outlook, you had talked about an exit rate in the fourth quarter of about $66 billion at
Investor Day. Just kind of wondering what that looks like and what kind of fading benefit from rate hikes you have assumed in your outlook.",2022,2
3,3,Jeremy Barnum,"Chief Financial Officer, Member -Operating  Committee",JPMorgan Chase & Co.,"Yeah, so the $66 billion number, if you want kind of to put a number in, you can use something like $68 billion, $68 billion plus, something like that. Obviously, we're annualizing one quarter, so there can always be noi se in there, but that seems like a good number to us, that's
consistent with the increase for the full year. And sorry, John, can you repeat your other question?",2022,2
4,3,Jamie Dimon,"Chairman, Chief Execut ive Officer",JPMorgan Chase & Co.,2023.,2022,2
5,3,John E. McDonald,Analyst,Autonomous Research,Just deposit betas Yeah.,2022,2
6,3,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, yeah, yeah. So in terms of 2023, we had talked at Investor Day about how we saw upside into 2023 from that fourth quarter run rate.
And that more or less remains true. There is some upside. Obviously, we're starting from a higher launch point, higher  rates, and less so after
the CPI trend, but there have been moments where there were cuts in the 2023 Fed expectations. So that could have some impact on the
dynamic. Obviously, this is all in an environment of very volatile implieds, but the core view of  some upside from that fourth quarter run rate
into 2023 is still in place.",2022,2
7,3,John E. McDonald,Analy st,Autonomous Research,Got it. Thank you.,2022,2
0,4,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,Hi. Good morning.,2022,2
1,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMor gan Chase & Co.,"Hey, Betsy.",2022,2
2,4,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Hey, Betsy.",2022,2
3,4,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"Jamie, you mentioned just on the SCB earlier that you intended to reduce it by reducing the things that caused it to rise. Could you give us a
sense as to what you saw in the results that you got that drove that SCB up? Because I talk to folks that say it's a black box, so it would be
helpful to understand what you se e as what the drivers were to that SCB increase.",2022,2
4,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Well, first of all, it's public, so you can actually go see what drives it, the global market shock and credit losses, stuff like that. And we don't
agree with the stress test. It's inconsistent. It's not transparent. It's too volatile. It's basically capricious , arbitra ry... We do 100 a week, this is
one. And I think  to drive capital up and down by 80 basis points ... So we'll work on i t. We haven't made definitive decisions, but I've already
mentioned about, we dramatically reduced RWA this quarter. We may do that again next quarter. We're probably going to drive down mortgages, and we'll probably drive down other credit too that create s SCB.
So we're not going to go into specifics on that. It's easy for us to do. You've seen us do it before. We're going to drive down non -operating
deposits. It creates no risk to us, but as the GSIB, and various  things. And so we're going to manage the balance sheet, get good returns,
have great clients. And I'm not worried about it. We just want to get there right away. I don't want to s it there and dawdle,  that's  the rule, they
gave it to us, we're going.",2022,2
5,4,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,Got it. And then...,2022,2
6,4,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Betsy, maybe I' ll just jump in –  hey, Betsy. Maybe I'll just jump in a little bit on the black box...",2022,2
7,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"But another very important point for shareholders, that number, when they –  that doesn't even remotely – the stress loss doesn't even
remotely represent what would happen under that kind of scenario. And I'm not s aying the Fed says it should or shouldn't, but I would tell you
we'd make money under that scenario. We wouldn't lose, I think they had us losing $44 billion. There's almost no chance that that would be
true.
And I just –  so I –  and I feel bad for the shareholders because people look at that and s ay, well, what's going to happen? I mean but  there's
good evidence, we didn't lose money after Lehman, we didn't lose money in the great – what just happened. We didn't lose money in great
financial recession.
The company's got huge underlying earnings power and consistent revenues in CCB, Asset Management custody, payment services. And
then we have some kind of fairly volatile streams. And now we've got the CECL, which obviously can go up or down quite a bit.  But again,
that's an accounting entry. And so we feel we're in very good shape. We just have to hold a higher number now and we're going to go there.",2022,2
8,4,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"And, Betsy, ma ybe I'll just comment briefly on the black box point. Because as Jamie noted, the SCB is quite volatile, and I think you see that
across the industry. And we feel very good about building quickly enough to meet the higher requirements. But they’re pretty big changes that
come into effect fairly qui ckly for banks, and I think that's probably not healthy.
And the amount of transparency, there is a lot of information released, as Jamie says. But since the SCB is really a quantity  that gets
measured to the peak draw -down period, and that information does not get released, it winds up being really very hard at any given moment to
understand what's actually driving it.
And that combination of suboptimal transparency and high volatility is really our central crit icism, I guess I would say. B ut nonetheless, the
organic capital generation...",2022,2
9,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"The other thing is, it's got bad effects for the economy because we're –  I just said, we're going to dr ive down this and drive down this, it's not
good for the United States economy. And the mortgage business, in particular, is bad for lower income mortgages, which hurts lower income,
minorities and stuff like that because we haven't fixed the mortgage busi ness, and now we're maki ng it worse. There's no real risk in it. It's not
a benefit to JPMorgan, but it hurts this country. And it's very unfortunate.",2022,2
10,4,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LLC,"No. I hear you on all that. And the mortgage comm ent you made earlier was  about shrinking mortgage growth rates or shrinking the balances
of mortgages that you have on the  book ...",2022,2
11,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"The balance...  ...well, no, we'll originate, but the balances in the books will probably come down. And look, we reserve the right to change that,
but that's a portfolio decision. And if it doesn't make sense to own mortgages, we're not going to own them.",2022,2
12,4,Betsy L. Graseck,Analyst,Morgan Stanley & Co. LL C,"Yeah. And w ould you reduce the buffer? I mean in the past, Jamie, you've talked about, hey, as these required capital ratios increase relative
to the risk in your business staying more consistent, then you've said before that you may operate with less  of a buffer. Could you unpack that
a little bit?",2022,2
13,4,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"We're going to keep a buffer –  I'm not even sure what the SCB means at this point. We're not going to go below any regulatory minimum. And
if we have to, we'll just drive down credit more to create what we've got to create. It's a terrible way to run a financial system,  and we owe you
more on what we think that buffer should be because we have so much – what I think is so much excess c apital. It ju st causes huge confusion
about what you should be doing with your capital.
But just keep in mind one thing, we're earning 17% of tangible equity, we can continue doing that. The company is in great shape. We're going to serve our clients and manage the hell out the rest of this stuff. We still think we have great businesses and stuff like that. And that's what
we're going to do. Most of this stuff doesn't create any additional risk at all, it just creates capital.",2022,2
14,4,Betsy L. Graseck,Analyst,M organ Stanley  & Co. LLC,Thank you.,2022,2
0,5,James Mitchell,Analyst,Seaport Global Securities,"Hey. Good morning. Maybe just on expenses, if I kind of look at the first half with this slowdown in investment banking, I think your annualized
is less than $76 billion, but you're still targeting $77 billion. Is that implication of just higher investment spend in the second half? Or just
uncertainty around ge tting th e pipeline completed or not and just assuming it might get done until we know better?",2022,2
1,5,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, Jim. Good question. We've looked at that too. It's definitely more the former than the latter. In other words, $77 billion is the number that
we see right now and the number that we believe. And we can see in our outlook a bunch of factors driving up second half expense including
deal M&A closing and adding to the run -rate as well as continued execution of our investment plans resulting in increased head count
probably at a faster pace as we kind of have ramped up our hiring capacity and so on. So I wouldn't draw any conclusions about lower than
$77 billion based on t he first  half numbers.",2022,2
2,5,James Mitchell,Analyst,Seaport Global Securities,"Okay. Great. And then just maybe on credit. It continues to look, I guess, very good, whether it's on the consumer side or co mmercial side. We
don't really see it. But are you st arting t o see any initial cracks in credit or strains in the system?",2022,2
3,5,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Look, I think the short answer to that question is no. Certainly not in any of our reported a ctual results for this quarter. The place that
everyone...",2022,2
4,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,It’s excellent.,2022,2
5,5,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"...right. Exa ctly. Obviously still running well below normal levels from the pre- pandemic period. But if you really want to kind of turn up the
magnification on the microscope and look really, really, really closely, if you look at cash buffers in the lower income segm ents and early
delinquency roll -rates in those segments, you can maybe see a little bit of an early warning signal to the effect that the burn- down of excess
cash is a little bit faster there, b uffers are still above what they were pre- pandemi c but coming down,  and that absolute numbers for the typical
customer are not that high.
And you do see those early delinquency buckets still below pre- pandemic levels but getting closer in the lower income segment. So if you
wanted to try to look for ear ly warning si gnals, that's where you would see it. But I think there's really still a big question about whether that's
simply normalization or whether it's actually an early warning sign of deterioration. And for us, as you know, our portfolio is really n ot very
expos ed to that segment of the market, so not really very significant for us.",2022,2
6,5,James Mitchell,Analyst,Seaport Global Securities,Right. So prime is still holding up quite well. Thanks.,2022,2
7,5,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,Yes.,2022,2
8,5,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,Looking better.,2022,2
0,6,Ken Usdin,Analyst,Jefferies & Company,"Yeah, hey, guys. Good morning. Just a follow up on the points about managing the balance sheet and capital and RWAs. How do you think
about your ability to manage that RWA output and dimensionalizing how, if at all, it might  impact either the net income outcome or the ROTCE
outcome as you look forward?",2022,2
1,6,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Just very roughly, we have a tremendous ability to manage it. And I can think we do it without affecting our ROTCE targets and stuff like that.
Obviously, it'll affect NII a little bit and capital generation a little bit and stuff like that. But all told, we're going t o manage the hell  out of it, and
we'll be fine.",2022,2
2,6,Ken Usdin,Analyst,Jefferies & C ompany,"Got it. Okay. That's a fair point. A nd then just second one on cards. Card revenue rate continues to slip even with the NII benefit. Obviously,
you've got the denominator increase in there too and spend versus lend. Can you just help us understand the dynamics underneath Card
revenue rate and where you expect it to go from here? Thanks.",2022,2
3,6,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, sure. So on Card revenue rate, we'd said that we thought 10% wa s a reasonable number for the full year. And i t's running a little bit
lower right now, and I think the current level –  look, what is it  Mikael , 9.6% or something, is probably the right number for the full year at this
Jeremy Barnum
Chief Financial Officer & Member -Operating Committee, JPMorgan Chase & Co.  A
point. And really the difference is d riven by a couple factors. The main one is tha t while the growth and revolve is basically still in place, our
view that we would see normalization revolve balances happening towards early –  beginning of next year, that – starting point of that did get
slightly delayed by Omicron, by about six weeks. A nd so that, all else equal, is a little bit of a NII headwind relative to what we'd expected but
still obviously very robust.",2022,2
4,6,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Can I just add a little bit on because I know I'm harping on mortgage a little bit here but I just want to explain it. Because if you go to Europe,
okay, the capital held against mortgages is like a fifth of what we have to hold here. And we can obviously manage  that, and standardized risk
weighted assets do not represent returns or risk. So there are a lot of ways to manage it, and there's no securitization market today. So our
view would change if there's a securitization market. We might do something different . But by not owning it, buying it, selling it, hedging it,
swapping it, there are a million ways to manage it without really affecting a lot of your risk and returns. And so it's unfor tunate, because I think
this is all kind of a waste of time in terms of serving our client.
Our job is to serve clients t hrough thick or thin, good or bad, with what they need and how they need it, and now we spend all our time talking
about these ridiculous regulatory requirements.",2022,2
5,6,Jeremy Barnum,"Chief Financial Officer, M ember -Operating Committee",JPMorgan Chase & Co.,"Right. So yeah and just to finish on Card, so slightly lower NII just from the Omicron delay and that slightly better -than- expected new client
acquisition is a driver there. And then there are some subtle kind of funding effects from the higher rate envir onment contributing to it as well.",2022,2
6,6,Ken Usdin,Analyst,Jefferies & Company,Okay. Thanks a lot.,2022,2
0,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,Hi. G ood morning.,2022,2
1,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Hey, Mike.",2022,2
2,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,"Could you help me reconcile your words with your actions? After Investor Day, Jamie, you said a hurricane i s on the horizon. But today, you're
holding firm with your $77 billion expense guidance for 2022. I mean, it's like you're acting like there's sunny skies ahead,  you're out buying
kayaks, surfboards, wave runners just before the storm. So is it tough times  or not?",2022,2
3,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"No, let me –  first of all, we run the company –  we've always run the company consistently, investing, doing stuff through storms. We don't like
pull in and pull out and go up and go down and go into markets and out of markets through storms. We manage the company, and you've
seen us do this consistently, since I've been at Bank One. We invest, we grow, we expand, we manage through the storm and stuff like that.
Jamie Dimon
Chairman & Chief Executive Officer, JPMorgan Chase & Co.  A
And so I  had mentioned, I don't know if you were on the media call, but there are very good current numbers taking place. Consumers are in
good shape. They're spending money, they have more incom e, jobs are plentiful, they're spending 10% more than last year, almost 30% plus
more than pre- COVID. Businesses, you talk to them, they're in good shape, they are doing fine. We've never seen business credit be better
ever, like in our lifetimes, and that 's the current environment.
The future environment, which is not that far  off, involves rates going up maybe more than people think, because of inflation, maybe
stagflation, maybe a soft –  there might be a soft landing. I'm simply saying there's a range of potential outcomes from a soft landing to a hard
landing,  driven by how much rates go up, the effect of quantitative tightening, the effect of volatile markets and obviously this terrible
humanitarian crisis in Ukraine and the war and then the eff ect of that on food and oil and gas. And we're simply pointing out –  those things
make the probabilities and possibilities of these events different.
It's not going to change how we run the company. The economy will be bigger in 10 years. We're going to run the company. We're going to
serve more clients. We're going to open our branches. We're going to invest in the things, and we'll manage through that. If you look at what
we do, our bridge book is way down. That was managing certain exposures. We're not  in subprime fundamentally. That's managing your
exposures. We're quite careful ab out how we run the risk of the company, and if there was a reason to cut back on something, we would. But
not only  do we think it's a great business that's got great growth prospects, it's just going to go through a storm.
And in fact, going through a storm, we will – that gives us opportunities too. I always remind myself the economy will be a lot bigger in 10
years, we're here to serve clients through thick or thin, and we will do that.",2022,2
4,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,"So clearly, runni ng the company for next 5 to 10 years, if we have a recession in the next 5 to 10 months, how does technology help you
manage through that better, whether it's credit losses,  managing for less credit losses, expenses, more flexibility, or revenues maybe gaining
market share? What's the benefit of all these technology investments if we have a recession over the next...",2022,2
5,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"I think we gave you some examples at Investor Day. For example, AI,  which we spend a lot of money on, we gave you a couple examples. But
one of them is we spent $100 million building certain risk and fraud systems so that when we process pay ments on the consumer side, losses
are down $100 million or $200 million with volu mes way up. That's a huge benefit. I don't think you'd want us to stop doing that because
there's a recession. And so plus, in a recession, certain things get cheaper. Branches are enormously profitable. Banks are enormously
profitable. And we're going to keep on doing those things, and we've managed through recessions before. We'll manage it again. And I'm quite
comfortable we'll do it quite well.",2022,2
6,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,All right. Thank you.,2022,2
7,7,Jamie Dimon,"Chairman, Chief Execut ive Officer",JPMorgan Chase & Co.,"But stop- starting on recruiting or training or technology or branch, right -  that's crazy . We don't do that, and we've never done that. We didn't
do it in 2008 and 2009. And put us in quite good stead in terms –  yeah.",2022,2
8,7,Mike Mayo,Analyst,Wells Fargo Securities LLC,"Yeah. I think the only other thing is just Market revenues are a lot weaker, right? I mean the Market outlook is wors e, and so we know you had
structural spending. So when all else equal that'd be a little bit less then.",2022,2
9,7,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yes. That's very performance- based too. And again, Mike, the way I look at it a little bit, in 15 years the global GDP or 20 years the global
GDP, global financial ass ets, global companies , companies  over $1 billion, will all double. That's what we're building for. We're not building for
like 18 months.",2022,2
10,7,Mike Mayo,Analyst,Wells  Fargo Securities LLC,Okay. Thank you.,2022,2
0,8,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Thank you. Good morning, guys. Jeremy, you touched on the deposit commentary a short while ago. Can you elaborate on QT and t he impact
that you've seen? Now, granted, I know June was not full QT of $95 billion a month, but can you guys give us a flavor? And I think, Jamie, you
mentioned that if I heard it correctly, that maybe $300 billion to $400 billion of deposits could outflow over time, I'm assu ming due to QT. But
can you guys elaborate what you saw in June? Is it  tracking the way you think it's going to be? And any further outlook for what the deposits
could be over the next 12 months due to QT?",2022,2
1,8,Jeremy Barnum,"Chief Financial Officer, Member -Oper ating Committee",JPMorgan Chase & Co.,"Yeah. Hey, Gerard. So, as you know, QT just started so I think it 's not the sort of thing where you can say I expect this exact outcome and
then sort of track it sector -by-sector because you can see the clear impact  on system -wide deposits but that also interacts with RRP and TGA
and stuff  like that and so how that flow s into the banking system and then into any individual bank across the wholesale and consumer
segments is kind of a tricky thing. So it's early on that. But at a high level and your comments about what Jamie said before are right.
The story remains true, which is that depending on how QT interacts with RRP and loan growth, in particular, you could see some decline in
deposits in the banking system and we would see our share of that but we would expect that to primarily come out of wholesale and primarily
come out of the non- operating and sort of less valuable portions of our deposit base. While in consumer, while you could in theory have a little
bit of  a headwind there, we feel pretty good about our ability to keep those levels pretty steady based on the s trength of the franchise and the
ability to take share.",2022,2
2,8,Gerard Cassidy,Analyst,RBC Capital Markets LLC,"Very good. And then as a follow up, I don't believe you guys disclosed the outstandings in the bridge book, but two questions. And, Jamie,
you've been very clear about this in the last 10 years, how you've de -risked that balance sheet and you mentioned that already today. Can you
just give us som e color on how different it is today from 2008- 2009 just so investors know that it is meaningfully different? And second, what
caused the write- down in the bridge book this quarter?",2022,2
3,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"So if you go back to 2007 I think, the whole street bridge book was $480 billion. I think the whole street bridge book today is $100 billion or
under $100 billion.",2022,2
4,8,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,Yeah. It's like 20%.,2022,2
5,8,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Our percent of that bridge brook has come down substantially just in the last 12 months and that's really just underwriting l oan by loan by loan,
and you win s ome and you lose some. And if you guys look at high yield spreads and stuff like that, bonds were down 6%, that's what you
see. So you have some flex and we're big boys, we know that, and there is write- downs of a couple of bridge loans. They're not huge. I think
they were in the I nvestment Banking line.",2022,2
6,8,Jeremy Barnum,"Chief Financial Officer, Membe r-Operating Committee",JPMorgan Chase & Co.,"Yeah, it's in the IB revenue line and there's a small amount in the C ommercial Bank as well. But as you said, Jamie, and as Daniel also
mentioned at Investor Day, I think we made conscious choices here to dial  back our risk appetite here and accepted some share losses in
leverage finance. So we feel good about where we are. We're still open for business for the right deals at the right risk appetite on the right
term, absolutely, but we've been careful.",2022,2
7,8,Gerard Cassidy,Analyst,RBC Capital Markets LLC,Very good. Thank you.,2022,2
0,9,Erika Najarian,Analyst,UBS Securities LLC,"Hi. Just had a few follow -up questions. The first is on balance sheet management  .Jeremy, the illustrative path that you set forth on slide 3,
does that include RWA mitigation? And as we think about the $58 billi on-plus in updated NII guide, what kind of deposit growth does that
assume? You noted that part of the SCB mitigation is to drive out non- operating deposits. Just wanted to understand what the assumption was
there as well, please.",2022,2
1,9,Jeremy Barnum,"Chief Fin ancial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah. Hey, Erika. S ure. So first point, you have to turn on  your magnifying glass, but if you look at footnote 5 on page 3, you can see that right
at the end of there, it says assumes flat RWA in the projection. And I think within that, who knows what the exact mix will be and you've heard
Jamie's comments on that, but if you look at the table above, you see that you've got the usual moving parts. We've got organic loan growth
that we want  that's profitable on its own, or in part of important relationships that we'd like to s ee continue to happen.
Some of it is a little bit passive. We can't really control it. It moves up and down as a function of factors like VaR. And t hen there's the
mitigation piece of it, which we're going to turn up the scrutiny quite intensely, as I sai d before, on lower returning, lower client  nexus , or both.
So across those three bits, we'll see how it goes. But as Jamie said, we feel pretty confident here.
In term s of deposits, at this point, deposit growth is probably less of a driver overall, looking forward of the NII outlook. Our deposit outloo k
remains more or less the same that I said before and that we've talked about at Investor Day, which is we do expect t o see some attrition in
wholesale. We expect consumer to be relatively stable, and we'll see how it goes.",2022,2
2,9,Erika Najarian,Analyst,UBS Securities LLC,"Got it. And my follow up question is for Jamie. Jamie, we've heard your caution about the economy, and I think there's a bigger debate on how
the US consumer is going to be impacted in light or in contact with the downturn. T he statistics that Jeremy laid out imply a pretty healthy
starting point for the consumer that you bank, and the reserve build for loan growth in Card and the less than 2% loss rate in C ard lead us to
believe that your consumer is still okay. As you think about the various scenarios and you think about the realistic range of outcomes, how
does the US consumer perform, because it feels l ike that's the big wild card. And we've seen the journal term, a job flow or recession. I just
wanted to get your thoughts there.",2022,2
3,9,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah, so first I just want to point out that, on tha t chart, that's not a forecast what it's going to be at the end of the quarter. So we're going to –
if you're going to penc il in some of your models, it's 12.5% on December 31 and it will probably be 13% at the end of the first quarter. And
because obvious ly we use capital for a whole bunch of different reasons. And the consumer – I feel like a broken record. The consumer right
now is in great shape. So even if we go into a recession, they're entering that recession with less leverage in far better shape than they did in
2008 and 2009 and far better shape than they did even in 2020. And jobs are plentiful.
Now, of course, jobs  may disappear. Things happen, so, but they're in very good shape. And obviously, when you have recessions, it affects
consumer incom e and consumer credit. Our credit card portfolio is prime. I mean, it's exceptional. But again, we're adults in that. We know that
if you have a recession loss, it will go up. We prepare for all that, and we're prepared to take it because we grow the business over time. We're not going to just immediately run out of it, and so I think it's great that the consumer's in good shape and it's excellent that –  I like the fact that
wages are going up for people on the low end. I like the fact that jobs are plentif ul. I think that's good for the average American, and we should
applaud that. And so they're in good shape right now.",2022,2
4,9,Erika Najarian,Analyst,UBS Securities LLC,Thanks for that.,2022,2
0,10,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Matt, I don't know...",2022,2
0,11,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,...if you're on –  yeah.,2022,2
0,12,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"Good morning. I guess just a coupl e of follow -ups, Jeremy. In terms of the markets  have gone very quickly from pricing in a ton of rate hikes to
potentially pricing in rate cuts next year. Just talk to us, like how that's informing your ALCO balance sheet management as you think about
hedging, downside risk from lower rates start 12 to 18 months out. Like should we expect you to add duration or do anything synthetic to
protect against lower rates?",2022,2
1,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,We're going to keep that to ourselves.,2022,2
2,12,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, yeah. But I don't know, maybe if you want a little bit of a general color about how we're thinking about the portfolio.  I do think...",2022,2
3,12,Jamie Dimon,"Chairman, Chief Executive Off icer",JPMorgan Chase & Co.,Go ahead.,2022,2
4,12,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah, okay, I'll keep it brief. On duration, I think at this level of rates, also with very quickly cash yields being roughly not that different from 10-
year yields, the question of duration adding or not is just generally less important for us. Then the other piece of it is whether there's the
opportunity to deploy cash into non- HQLA securities broadly into spread produc t, and obviously spread product is more attractive right now.
But as we've been talking about a lot on this call, the priority right now is to build capital. So that'll be something for l ater, I would say.",2022,2
5,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"And I should... just point out the forward curve has been consistently wrong in my whole lifetime, so we don't necessarily make investments
based on the forward curve. And second, we've always told you that we use the portfolio and other things to manage the broad range of
outcomes, not just to try to add NII. So if you said add NII next quarter, yeah, we could do that, but that wouldn't be managing the broad outcome of potential outcomes her e which is to protect the company thr ough all possible outcomes.",2022,2
6,12,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,"That's helpful. And just one follow up on credit. I heard your comments on the consumer. If we enter some version of a mild r ecession, like if
you had to pick one or two areas, where do you think losses would be driven by? Is it on the commercial side? Is it CRE? How do you expect
that downturn to kind of play out?",2022,2
7,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"I think at Investor Day, you had a chart that showed through the cycle losses?",2022,2
8,12,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,Yeah.,2022,2
9,12,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Yeah. So I mean I would just  go back to that, and we showed what we think through- the-cycle losses would be for credit cards, C&I and a
bunch of other things. And obviously, through- the-cycle is an average, and you could kind of double that. Okay.",2022,2
10,12,Jeremy Barnum,"Chief Financial Officer, Member -Operating Committee",JPMorgan Chase & Co.,"Yeah. And that showed exceptionally low losses in wholesale, so I'm not sure whether or not that's a prediction of the future or not, but yeah.",2022,2
11,12,Ebrahim H. Poonawala,Analyst,Bank of America Merrill Lynch,Got it. Thank you.,2022,2
0,13,Matt O'Connor,Analyst,Inc.,"Hi. Sorry about that. I somehow g ot disconnected. Sorry if I missed this, but if we think about provisioning or reserving for a moderate
recession, what's the best guess on how much that might be? I think for COVID it was around $14 billion ex CECL, but ob viously you alluded
to the consum er being better, and the loan mix has changed. There's lots of puts and takes, but how would you frame kind of total reserve
builds ...",2022,2
1,13,Jamie Dimon,"Chairman, Chief Executive Officer",JPMorgan Chase & Co.,"Let me say it very simply for you. In COVID, we got to 15% unemployment within three months. And in two quarters, we added $15 billion ,
which we can easily handle. That is clearly –  I always put that almost out as the  worst case. It'll clearly be a lot less than that, and you guys
could look at the thi ngs yourselves . Every 5% is another $500 million or something like that, if you change odds and so on...",2022,2
