question_order,question_answer_group_id,speaker,role,content_type,content,quarter,year
3,5,Denis Coleman,answer,answer," fair enough. you're right to observe that we have not increased our market savings rate. look, in terms of how we're thinking about the deposit betas across the channels, i mean, that really -- you really need a through-the-cycle experience. w e have a certain expectation for these businesses that will prove out through the cycle. this cycle will be dif ferent than previous cycles. obviously , i would say at the very , very beginning part of the cycle, the experience is outperforming our expectations. but i think that's because we recognize that the maturity of our portfolio and our time in the business is less than some of our biggest competitors. but we remain really focused on managing that, continuing to drive deposit growth and support the other origination activities across our lending platforms.",1,2022
0,6,Devin Ryan,question,question," great. good morning, david and denis. maybe i'll just stick on the same theme here on consumer . i'd love to talk about just the consumer product road map and what we could expect from here, i'm sure you don't want to kind of give away your entire hand here, but just kind of what to think about as a natural extension coming next? and then obviously , with the apple news and kind of where they're going, how that af fects buy now pay later and any other kind of parts of the strategy in terms of timing?",1,2022
1,6,Denis Coleman,answer,answer," okay . great. thank you for the question. so in terms of our aspirations to build the leading global digital consumer bank, a lot of the pieces to the puzzle are in place at this point. a lot of those investments have been made, and we feel really good about the progress across the various lending and deposit platforms that we've invested in and built out. i mean to give you a sense, our active customers in the consumer space are north of $13 million now . and that number in the fourth quarter was less than $10 million. so we continue to see attractive active customer acquisition, both organically and inorganically , which is an important piece of the strategy . i think perhaps next up on the product road map will be the launch of checking. w e're already piloting that internally , and we expect to launch that more broadly to our clients later this year . and that will be -- i think that will be an important piece of the product road map for us.",1,2022
2,6,David Solomon,answer,answer," the only thing i would add to that, devin, is i just highlight back in the february update, we put out a $4 billion revenue target. and i just want to tie that target to what denis said when he said most of the investment was made. most of the investment to drive that revenue target is in the ground and so that's something i want to amplify . and then just ﬁnally , because you referenced it, our partnership with apple is very , very strong. while there's been a bloomberg article about what apple is doing apple or we have -- have not commented on the direction of that partnership and we spend a lot of time, and i would just say we're very comfortable with the opportunity set in front of us with that partnership.",1,2022
3,6,Devin Ryan,question,question," okay . terriﬁc. thanks for the color . quick follow-up just on the operating leverage in the model and maybe just starting on comp ratio. i know it's very the year , so it's hard to give much of a prediction. but comp ratio net provision was 100 basis points lower than the ﬁrst quarter of last year , even with, i would say , kind of an unfavorable mix. so is there anything we should read into that just around kind of how to think about the full year and just overall leverage on comp relative to revenues based on the current backdrop?",1,2022
4,6,David Solomon,answer,answer," well, as we've said always, we're a pay-for-performance culture. this is our best estimate is the right comp ratio based on the performance and the mix in the ﬁrst quarter . we manage this very closely . we're comfortable that we will pay people appropriately and competitively . and we will also obviously pay for performance. so i'm not going to speculate going forward, but you have data points from our behavior set on this over a long period of time. and we obviously -- the one thing i'd just highlight is our focus on our efﬁciency ratio, and that's something we want to think more about is comp and noncomp and driving to the efﬁciency ratio. and so that also affects our decision-making as we move forward.",1,2022
0,7,Dan Fannon,question,question," thanks. good morning. a question just on asset management with the nn deal now closed. do you see yourself as a scale provider with that property now? and then within that, maybe highlight or remind us what the opportunity set is with that business in terms of incremental growth now that it's closed?",1,2022
1,7,David Solomon,answer,answer," sure and i appreciate the question, dan. i mean i would say that we were a scale provider before that acquisition, but that acquisition certainly strengthens our position in europe. it opens that some interesting distribution channel, and it accelerates some of our capabilities around esg-oriented products. so, it was a good step forward to expand that growth. i believe -- carey will correct me if i'm wrong, it's the ﬁfth largest active asset manager in the world at the moment. w e see opportunity based on our footprint, our global position, our client mix, our strong position and alternative to continue to grow that business, both organically and potentially inorganically as we did with nn, and so we're going to continue to strengthen our position there, but we see a lot of upside across the business platform and continue to be excited about our capabilities and alternatives and our ability to expand that opportunity for the ﬁrm.",1,2022
2,7,Dan Fannon,question,question," that's helpful. i guess just in similar context with wealth in terms of the outlook for growth, that's also an area where there has been a fair amount of consolidation within the industry . do you see yourself as a potential participant in that? and maybe kind of the acceleration of hiring and/or some of the initiatives you put in place, how are you thinking about kind of the growth of the wealth business at this point?",1,2022
3,7,David Solomon,answer,answer," well, you can see from our earnings, the growth of the wealth business year-over- year. we continue to be focused on that opportunity . and i'd just highlight that that's a process that takes time. you add wealth advisers, you add footprint. it's a slower growth -- it's a slower process if you do it organically . but we see it as a very big opportunity . i think we have an aspirational brand in the wealth space. it's only been the last couple of years ﬁrst with the united capital acquisition and also to our aeco channel, we're meaningfully expanding our distribution of wealth products and corporations that we've been focused on really broadening that footprint. i think we're of f to a good start there, but i think there's a lot of organic opportunity to still exist i think our ayco channel, goldman sachs ayco is a very , very unique platform to work through corporations. and i do see a trend in this competitive environment where corporations are more focused on helping our employees with wealth management services.",1,2022
0,8,Gerard Cassidy,question,question," good morning. david, you made an interesting comment about when you were asked about the pipelines that it takes a little while for the potential issue is to realize that they need to reset maybe their expectations. in your experience, how long does it take -- assuming markets don't come roaring back, and i'd say they stay below they were maybe 6 months or 12 months ago, how long does it take for that reset to ﬁnally say , okay , yes, we still need to raise the capital, even though it's at lower levels than we originally would have liked?",1,2022
1,8,David Solomon,answer,answer," yes, i think, gerard, it's a hard question to answer very speciﬁcally and some of it depends on what kind of pressure the business that's making those decisions is under . but i think if you want me to make a very generic generalization, these are not things it doesn't take a year for people's mindset around the reality of markets to reset. it's more something that happens real time over months or quarters.",1,2022
2,8,Gerard Cassidy,question,question," very good. and then as a follow-up to another comment you made, you talked about how the global capital markets today versus ﬁve years ago are much larger , which obviously we have seen. how much of an impact do you think the quantitative easing by the global central banks? because i think now it's over $30 trillion of those balance sheets that are outstanding. w e all know the us fed is that $9 trillion, up from $4 trillion at the start of the pandemic. when we go into qt  in the us at least, they're going to bring those balances down. what kind of ef fect -- any color on what you think may happen versus what happened over the past ﬁve years when those balances blew out?",1,2022
3,8,David Solomon,answer,answer," well, there's no question that -- and i've tried to say it in dif ferent ways, and there's no science to this. and no one knows obviously , where the macro environment goes as we go forward. but when you look at the volumes and the levels of 2020 and 2021, we've said repeatedly that those volumes were at levels that were not sustainable and are a reﬂection of some of that monetary ﬁscal policy . that doesn't mean when you contract the monetary and ﬁscal policy that these businesses go away and contract proportionately . i think these are big businesses. there’ s a lot of capital raising advisory work and intermediation and ﬁnancing that will continue to go on. but there's no question, it's not going to operate at the levels that we saw in 2021.",1,2022
0,9,Jim Mitchell,question,question," hey. good morning. maybe just talk about the bank a little bit. you've kind of stealthily grown the us bank to be sort of almost a top 10 player . i appreciate some of the color around the loan book and its rate sensitivity , but the bank balance sheet is almost three to four times the size of the loan book. so can we -- can you give us some sense of how we should think about asset sensitivity in a rising rate environment in the bank? and if there's -- we'd like to think that there's some material upside there given the size of the bank?",1,2022
1,9,David Solomon,answer,answer," sure. thank you for the question and to help through that. i think there's a couple of thing that we expect over the balance of the year and beyond as we move through this rate cycle. on the one hand, we do expect to continue to originate balances and as it relates to our own balance sheet sensitivity , that is modestly asset sensitive. so when you take that feature combined with increased quantum of interest-earning assets given the forward curve, we think that will be a beneﬁt to the ﬁrm. the other thing that i should mention, which is separate, but probably also important just to be clear on and that is, in the past, we had made reference to the impact of a rising rate environment on our money markets business and the impact that fee waivers had and the roll-of f of fee waivers may have on the forward. i would just point out that in the ﬁrst quarter , we had fee waivers of about $80 million versus in the fourth quarter was about $150 million. and on the forward, we expect those to be negligible. so, that too, obviously only a one-time beneﬁt with the ﬁrst hike, but that should provide some tailwind to our results as well.",1,2022
2,9,Denis Coleman,answer,answer," i'd also to highlight -- i'm sorry , jim. i'd also just highlight that we continue to grow deposits, and deposits are important for funding. so, our bank has many activities across the ﬁrm. and obviously , we're growing our lending businesses. but this strategy also af fects our market businesses positively too.",1,2022
3,9,Jim Mitchell,question,question," no, absolutely . i just -- i'm trying to think through ex the market's nii, which obviously tends to be liability sensitive. but if we just think about the bank, the loan book you've disclosed, i think, within the bank, something like $800 million to $900 million from a 100 basis point move, is it at least fair to say that the bank in total would nii beneﬁt from a 100 basis point move would be better or worse. just trying to get -- think through the other parts of the balance sheet and how that nii can react and what that growth could look like if there's a way to frame that?",1,2022
4,9,David Solomon,answer,answer," yeah. look, i think i would just refocus you on my comments previously . overall, nii sensitivity is modestly asset sensitive, i think, just given the relative size, even though we've grown it substantially , given our relative size, relative to some of our larger competitors. and i think that proxy that i of fer you on behalf of the ﬁrm is a good way of thinking about it.",1,2022
0,10,Andrew Lim,question,question," hi, good morning. thanks for taking the questions. so ﬁrst of all, can we talk about your management of the efﬁciency ratio? last year , it seems to be more volatile than usual. i guess, in the ﬁrst three quarters, it ran at quite a low level. and then in the fourth quarter , it seems like you had some, kind of, like cost true-up both for compensation, but also for non-comp. i was wondering if we should expect the same thing again for this year , the ﬁrst three quarters running at a lower level and then the fourth quarter being higher . and then what would you guide to really for the full year as a whole?",1,2022
1,10,Denis Coleman,answer,answer," okay . thanks very much for the question, andrew . i think as david indicated, from an overall framing perspective on ﬁrm-wide operating expenses, we have put out this efﬁciency target of approximately 60%, and that is a target and a lens through, which we look at the combined set of expenses, compensation and non-compensation. the compensation level that we set for the ﬁrst quarter , obviously , our best estimate right now based on what we pay for the full year , but i could not predict for you at this point, what our full year compensation ratio will be. that will be a function of our performance, the competitive landscape and our attention to the overall efﬁciency level efﬁciency ratio. on the non-comp side we’re making decisions and taking steps to manage non- comp growth where we can make the types of investments that we think are important strategic investments for the long-term strength and growth of the ﬁrm like in areas such as technology and trying to manage other non-compensation expenses that are less strategic.",1,2022
2,10,Andrew Lim,question,question," great. thanks. and then just switching type as a follow-up question. you seem to be a leader in the crypto and blockchain space, it's been a few years coming now for banks to try and get some products of f the ground. but maybe this year , you might see something a bit more material. so i was just wondering if you could talk a bit more about what we could expect maybe this year in terms of your product pipeline and what could be commercialized in the crypto and blockchain space?",1,2022
3,10,David Solomon,answer,answer," well, at a high level, andrew , what i'd say is we're certainly engaged with our clients around their interest in the space. but in terms of our product of fering and what we can do, we're really following a regulatory lead. but at the moment, the regulatory lead for big regulated banks is very restrictive and very , very small. i don't have great insight into how that will or will not change during the course of 2022, but we're engaged in dialogue with our clients. and certainly , when you think about blockchain more broadly in terms of how it supports the infrastructure, payment systems and other activities in the ﬁnancial markets, we're extremely engaged and invested in thinking about how goldman sachs participates in that and how that will af fect dif ferent business channels and business opportunities because that's to me a little bit separate from cryptocurrency - - clients' interest in cryptocurrency .",1,2022
0,0,Glenn Schorr,question,question," hi. thanks so much. i guess just big picture, if we add back all the signiﬁcant items in the quarter , we're obviously still well short of the mid-teens targets. i know this is super slow times, like decade lows in investment banking, and you're in the process of hopefully reducing a lot of on-balance sheet stuf f. so i wonder if you could help us bridge the gap from here to there because in the back of our mind, we also have the potentially up to 25% increase in the denominator . so i wonder if you could bridge the gap of like how much is -- comes, do you think, from improvement in capital markets activity? how much is yet to be freed up capital from the denominator? i know it's tough but i want to say high level [indiscernible] pieces and thanks.",3,2023
1,0,David Solomon,answer,answer," sure, glenn, and appreciate the question. and so we'll keep it high level and let's separate into what we've got and then we can have a separate discussion about basel iii. but ﬁrst, we are simplifying the ﬁrm and kind of managing the ﬁrm to drive us toward the overwhelming majority of the ﬁrm to be in two core businesses, our global banking & markets franchise, which is performing very well in an environment that's not a great environment for that business. investment banking activities are well below 10-year norms. i don't think that will stay that way . but if you look at the performance of the business through nine months, that business, which is kind of 7% of the ﬁrm, that is two-thirds to 70% of the ﬁrm, that business is operating with a 13.4% roe and an environment that's not the best environment for that overall business. i can't tell you when the environment will get better , but i do believe that the capital markets and banking environment will improve in the coming years. history tells us that it doesn't stay short -- it doesn't stay closed for multiple years at a time. there is an adjustment. w e're making the adjustment. yes, the world's uncertain. as we mentioned, that could be a headwind. but i do think it will improve. and that business performs well. and we ﬁrmly believe that, that business is a mid- teens through the cycle business, the way we've materially grown our wallet shares, the way we've grown our ﬁnancing footprint, which adds more balance to the business and with our market-leading franchises across that business. second, we have the asset & w ealth management business, which we believe is mid-teens or higher returns as we reduce the historical principal and make it a lower capital business. w e're on that journey . i think you see us making progress. w e've talked about how we've reduced the historical principal businesses -- the historical principal investments by $9 billion this year . we set a target for $15 billion by next year , which we'll meet and then close to zero two years later . and so that business, we have a high degree of conﬁdence we'll operate at mid-teens or higher as we reposition it. as we've also stated, we're reducing the drag in our platforms. w e're narrowing the platforms and reducing the drag. and we're relatively conﬁdent that over the next 12 to 24 months, we'll make materially more progress in that. so you add that up with what we have and i think you can get very comfortable with the mid-teens target. now, the basel rules. the basel rules, if they were implemented as they're position now would be a headwind to that but also that doesn't account for how we optimize and how we pass through pricing. w e've seen things before. i'm not to saying it won't be a headwind, but i don't want to speculate on what it would do to our targets until we actually understand how it's coming through and what we can do across our businesses to appropriately manage it. so we continue to be very optimistic about our view to deliver meaningfully higher returns to our shareholders. and when there's more clarity on basel, we're committed to giving you a clear picture of that view . but i wouldn't jump to a conclusion on it at this point. i'm not saying you are. i wouldn't jump to a conclusion on it at this point.",3,2023
2,0,Glenn Schorr,question,question," okay . i appreciate that. one quickie follow-up on your prepared remarks. you mentioned a number of sectors that have yet to absorb the higher rates. i'm curious if you could give a little color either on which sectors or how meaningful that is. i'm thinking from more of the big picture economy standpoint, but that caught my ear . thanks.",3,2023
3,0,David Solomon,answer,answer," yes. glenn, as i listened to you play it back, what i'd say , us economy has been more resilient. the ﬁscal stimulus has helped mute the material tightening of monetary conditions that's occurred. i'm still of the belief that there's been a lag with this tightening and across a broad swath of the economy , we will see more sluggishness. now that doesn't necessarily mean it has to be a recession, and certainly , there's a good debate on where this all lands. but we, again, in the past quarter materially tightened economic conditions. and i just think there's a lag in most sectors of the economy , not all, but most sectors of the economy . and i do think over the next two to four quarters, the impact of that tightening will be more evident and will create slowdowns in some areas. i am hearing as i interact with ceos, particularly around consumer businesses, some softness, particularly in the last eight weeks in certain consumer behaviors. i don't want to over-amplify that because i think the economy and the consumer has been more resilient. but i think that gear from watching closely .",3,2023
4,0,Glenn Schorr,question,question, thanks so much.,3,2023
0,1,Ebrahim Poonawala,question,question," good morning. i guess maybe just one ﬁrst follow-up, denis. i just want to make sure i heard you correct. did you say you marked your cre exposure by 50% in cre ofﬁce? and on that, just give us a sense of visibility even beyond ofﬁce cre. clearly , it's a very manageable issue for you, but it remains sort of a source of nuisance and earnings noise. how much more do we have to go before this is kind of pinned down?",3,2023
1,1,Denis Coleman,answer,answer," sure. so, yes, to clarify , for our cre and cie exposure in the ofﬁce space, we've either marked or impaired that down by about approximately 50% this year . so that's -- i think that's quite signiﬁcant. w e started the year with about $15 billion of cre alternative investments. that's been reduced now by about $5 billion. 3/4 of that was either through paydowns or dispositions, the balance through marks and impairments. so we're making very , very signiﬁcant progress against those exposures. if you were to look at the same set of exposures in non-ofﬁce, the adjustment there through marks, our impairment is about 15% year-to-date. so we feel we've reduced a lot of notional appropriately reﬂected the valuations in those positions. but as indicated by our targets, we intend to continue to move down those exposures.",3,2023
2,1,Ebrahim Poonawala,question,question," got it. and i guess just a separate question. i mean, i think the capital markets environment, it is what it is. when you look at the ﬁrm over the next year or two, if maybe, david, where do you see the best growth opportunities? one, maybe talk about the client franchise and cap markets ﬁnancing. is that getting better or worse? and then there's a lot of talk about private credit, direct lending. you've talked about credit being an opportunity . just give us a sense of could that be a meaningful source of growth as we think about the next year or two?",3,2023
3,1,David Solomon,answer,answer," sure. so in our global banking & markets franchise, we still believe that we have opportunities with our focus on our execution to continue to grow our wallet share. we expanded our focus from the top 100 accounts to the top 150 accounts, and we also are expanding the granularity that we look at our accounts from the position of one, two or three as opposed to just top three. and so we still do see some wallet share opportunities but we obviously have a very strong wallet share. so that's not most signiﬁcant. w e are growing our ﬁnancing for our global banking & markets franchise, and we expect to continue to grow that ﬁnancing footprint, and we have a plan to continue to put more ﬁnancial resources toward growing that ﬁnancing footprint. and we do think that it has reasonable returns. and it also creates a virtuous cycle for our client franchise in terms of our overall wallet share because we're a signiﬁcant ﬁnancer with them. when you turn to asset & w ealth management, i think we've been very clear at our investor day , and mark stated this, that we think we can grow the revenues in that business by high single-digits. that is driven by our continued growth in management fees over time and the continued growth in the wealth management sector , where we are experiencing good growth, and we still see good opportunities in w ealth management to grow the franchise all over the world. and we've made continued progress on that journey . when you talk about private credit, we have, as you know , over $100 billion of private credit. w e've launched private credit vehicles. w e obviously have a very powerful ecosystem when you look at global banking & markets. and what we do with ﬁnancing, which we think can also be an asset & w ealth management opportunity for growth in private credit, but we would expect signiﬁcant opportunity for the growth in private credit as a part of the overall growth of our asset & w ealth management franchise. so those are a handful of things i'd highlight at this point.",3,2023
4,1,Ebrahim Poonawala,question,question, that's helpful. thank you.,3,2023
0,2,Christian Bolu,question,question," good morning. just another one on basel iii endgame. i appreciate that you think it's going to change and all that. but now that you've had a chance to digest the actual proposal as is, any more color on how you think it af fects the competitiveness of your markets businesses? are there any particular businesses that are more or less impacted? and then maybe give us some color on potential mitigation actions.",3,2023
1,2,David Solomon,answer,answer," sure, christian. i appreciate it. i mean, i'm going to talk very high level because, again, this is all ﬂuid. but obviously , if these rules went in place the way they're proposed, they would have an ef fect of the businesses. but it's dif ferent from business to business. there are certain activities that would meaningfully impact end users, whether they're corporates or individuals where it would be obvious that you'd pass on cost. a corporation that wants to hedge and comes to us and we sit opposite in an uncollateralized derivative. i can't imagine that their desire to hedge won't still continue even if the cost of that hedge is higher . obviously , it's some balance, they would think about that dif ferently . there are certain businesses where we might reduce our activity level because with the new basel rules, the terms don't look attractive. but there are others, and one i'd point to that's most obvious, which by the way, a signiﬁcant part of the impact to us would be is prime, okay? there aren't a lot of alternatives for big institutions in the prime business. there are very few in europe, a little bit, and obviously , the europeans, if this was implemented this way , would have an advantage. but at the end of the day , there are a handful of scale players. there are lots of scale institutions that need that service. our belief is we'd be able to optimize and pass on pricing in a reasonable way . we'd have to look at the ﬁnal rules. w e'd have to adjust. so it will af fect behavior . it will af fect pricing. it will af fect optimization. but i know everybody wants to jump to the clear answer , i think you need to see the rules, and then institutions and end users need to adapt to the new reality , whatever it is. and it's not binary that it only af fects us or others in the industry that are obviously be a process of working through that, as we have in the past.",3,2023
2,2,Christian Bolu,question,question," got it. thank you. that's helpful. maybe a question on the platform businesses here. i just have a two-part question. i guess ﬁrstly , maybe just update us on how you're thinking about the partnership with apple. can the economics work for goldman in the current states or does it make sense to further think about disposing of that partnership? and then the second question is more on the credit quality in your senior credit cards. kind of what are you seeing in terms of credit quality in that portfolio? how does it compare to your expectations and the broader sort of credit card industry?",3,2023
3,2,David Solomon,answer,answer," all right. i'll start on the ﬁrst part, denis will make some comments on credit and the portfolio. first, i think we hired a gentleman, bill johnson, who's got decades of experience to help us better run and better optimize the credit card portfolio, the credit card partnerships. as we've stated to you a number of times, and i'll repeat it here very clearly , we've worked to narrow our focus. you've seen us execute around marcus loans and greensky . our partnerships with apple and gm are long-term contracts, and we don't have the unilateral right to exit those partnerships. so our focus at the moment is on managing them better , getting rid of the drag and bringing them to proﬁtability . and we're making progress, both in the way we run them and against the cost base that we put against them. and bill johnson joining is helping with all that. w e'll continue as we go forward to work constructively with our partners and examine what's best in the long run for goldman sachs. but our core focus is on reducing the drag over the course of the next 12 to 24 months and ensuring we operate them better . denis, do you want to comment a little bit on the credit quality that we're seeing?",3,2023
4,2,Denis Coleman,answer,answer," sure. what i'd add is we obviously remain very focused on the overall credit quality of the portfolio. a couple of things to bear in mind. in consumer , the net charge-of f ratio for the quarter was 5.1%, down from 5.8% last quarter and the total dollar amount of charge-of fs down as well. you'll also see that our coverage ratio now stands at 13.3%, which we think is an appropriate level, given our expectations for the portfolio. that adjustment is basically a function of greensky being removed from that ratio. and so now that applies to the cards portfolio, but we feel good about where that stands right now . on the overall performance of credit on the forward, we'll continue to be focused. w e made a number of adjustments to our credit underwriting box, and we'll continue to monitor that as we move through the economic environment.",3,2023
5,2,Christian Bolu,question,question, great. thank you.,3,2023
0,3,Steven Chubak,question,question," hi. good morning, david. good morning, denis. so david you had alluded to increased competition for talent driving some pressure on expenses. i was hoping you could just speak to the commitment to deliver on the 60% efﬁciency goal? and maybe more speciﬁcally , given changes in revenue mix, some recently announced business exits and the heightened competition you cited, how that's going to impact your ability to deliver on that 60%, if at all?",3,2023
1,3,David Solomon,answer,answer," yes. so we continue to be committed to the 60% efﬁciency ratio. but as you know , we're moving through, we're narrowing our focus. w e're moving through some things that we're trying to create more transparency on, steven, and highlight for you. i'm going to turn to denis to make sure that we get the number right. but ex those one- off items, the efﬁciency ratio for the quarter would have been?",3,2023
2,3,Denis Coleman,answer,answer, about 64.6%.,3,2023
3,3,David Solomon,answer,answer," okay . so putting it in perspective, i think it's important to highlight that we don't think the things that we're highlighting continue in perpetuity . we're trying to narrow the focus and when we look at our global banking & markets business and our asset & wealth management platform, we think we have the right target. now back to your point, steve, about competition. the competition for talent, especially the best talent, remains very , very strong. and so we think we've got a very , very good talent ecosystem. i feel good about the hiring we're doing. i'd just highlight that for our analyst jobs out of university , we had 260,000 applications for approximately 2,600 jobs. there are over 1 million applications for employment at goldman sachs last year. very, very aspirational and desirous place to work, but the competition for talent remains high. and so we'll strike the right balance and making an investment in our talent. you heard denis talk about some of our efﬁciencies and the fact that the efﬁciencies allow us to make a reinvestment in some of our best talent. w e feel good about where we are, but we also believe that as we continue to execute on our strategy , which narrows our focus and keeps us focused on our two core businesses of global banking & markets and asset & w ealth management, that the efﬁciency ratio target that we're hiring -- that we're highlighting over the next few years is a reasonable target.",3,2023
4,3,Steven Chubak,question,question," that's great color . and just for my follow-up, a broader question on the sponsor outlook. alts fundraising, it's continued at a healthy clip, but pe is facing numerous headwinds, whether it's the lp  denominator ef fect, higher rates and just slower realization activity in general. i was hoping you could speak to the broader outlook for the sponsor business and the implications for both the sponsor booking activity as well as the alternative asset management business.",3,2023
5,3,David Solomon,answer,answer," sure. so that broadly deﬁned sponsor community , steven, which really is the broad alternatives world, private capital world, the ﬁrst thing i'd just say is we believe strongly that there's still a very , very long-term secular growth trend that is intact and will continue. i think there's some very , very interesting macro dynamics. i believe there's over $70 trillion of assets held by baby boomers that sometime in the next 20 years either will be passed on to a younger generation for aggressive investment, will go to taxes or will go to charitable foundations, by the way , charitable foundations who also invest. so there's a very , very strong dynamic of good ﬂows and a shift, especially given the size of the public markets into private asset classes. and so we believe that's ﬁrmly intact. there's no question that the capital raising environment is more muted than it's been. i would say it was extraordinarily robust in 2020 and 2021 and very , very robust in an environment where monetary policy was incredibly accommodated. but there's no question that all of this investing can be successful as new vintages and a new reset environment are opened up even if rates are higher and they operate higher . the one thing i know about the sponsor community is they generally make money by selling assets, and the sponsor community owns an enormous portfolio of businesses, and they also make money when they buy new assets. they obviously have to buy new assets at dif ferent valuations with dif ferent ﬁnancing costs now . and what i'd say is for the last six quarters, the last 1.5 years, that community has been very quiet. in our dialogue, they are starting to see more interesting opportunities. and i would expect in the next 12 to 24 months, the level of activity in the sponsor community will increase again, both in terms of sales. it's one of the reasons why i'm optimistic on capital markets and our advisory activities look forward over the course of the next four to eight quarters but also in terms of new purchases. i'm not suggesting that it will go back to where it was in 2021. that would not be the norm, but if you look at kind of 10-year historical averages and the percentage of investment banking activity , the sponsor activity would make up, i would expect that you'll see it go back to those averages. and at the moment, we're well below those averages at the current point in time.",3,2023
6,3,Steven Chubak,question,question," very helpful, david. thanks for taking my questions.",3,2023
0,4,Brennan Hawken,question,question," good morning, david and denis. thanks for taking my questions i'd love to start on expenses and comp, and david, you just spoke a little to this when answering steven's question. but the comp ratio, we saw revenue growth broadly quarter-over- quarter and yet the comp ratio ticked up, which is rather unusual for goldman. denis, i know you layered in that there was nearly $300 million of severance year-to-date. was some of that in the third quarter or was there any unusual items impacting the comp ratio? or was this mostly just because of the competition for talent? thanks.",3,2023
1,4,Denis Coleman,answer,answer," so in terms of third quarter , it was very , very small. w e previously disclosed $260 million of severance so there's a small amount of severance in the quarter . we just think it's important to continue to call that out and highlight it so you can track that over the course of the year . that obviously rolls into our overall ratio in terms of what we're thinking for the full year . and we made the adjustment to the comp ratio in the third quarter based on what our expectations are for year-end performance as well as what we expect to pay our people. and we're looking in top composition this being mindful that we continue to pay for performance, but also recognizing, in particular , across our core businesses, we have leading market shares in global banking & markets, record year-to-date ﬁnancing activity , record management fees year-to- date, record private banking and lending activities year-to-date. and these are the bedrocks of our business for the foreseeable future. and we think it's important that we continue to recognize and retain the talent associated with those businesses that are going to unlock our mid-teens returns in the future.",3,2023
2,4,Brennan Hawken,question,question," okay . thanks for that, denis. and then when you're thinking about -- thanks for all the color on those cre and the exposures. when you're thinking about these historical principal investments that you're intending to continue to sell by the end of next year , what portion of those are cre or cre-related? is it possible to give any color around the assets that you're looking to sell and how exposed they are to cre or other sectors?",3,2023
3,4,Denis Coleman,answer,answer," sure. so i made a comment earlier . if you look at aggregate cre-related on-balance sheet investments and you look across asset classes like loans, debt securities, equity securities, and remaining exposure of equity in our cie portfolio, that, in aggregate, now stands at a little bit under $10 billion, $9.7 billion and down already $5 billion year-to-date. there are portions of some of those exposures that relate to our ﬁrm-wide activities, our cra  obligations and some co-invest exposures. if you look at the -- in aggregate, about 43% of the cre on-balance sheet investments is hpi, and that's what we're looking to sell down over time.",3,2023
4,4,Brennan Hawken,question,question, great. thanks for that color .,3,2023
0,5,Mike Mayo,question,question," hi. the pivot's not new . it's been advertised. i guess what's new is the actual losses. so looking back, who is accountable and who pays the price for the losses with greensky , the marcus loans and a consumer expansion strategy that was wider than you want it to be now? and then looking ahead, once you eliminate what you want to eliminate both on the consumer side and principal investments, how much would that alone improve roe? thanks.",3,2023
1,5,David Solomon,answer,answer," thanks, mike. appreciate the question. the leadership of the ﬁrm, which includes myself and the other senior leadership, are responsible for everything that happens here and everything that we do for our shareholders and for our people. so obviously , we're responsible and accountable for any decision that we make. i said publicly before that i'm happy that we pivoted. as you say , the pivot is not new . we've made the pivot. w e said we were going to do certain things. with hindsight, you will do certain things dif ferently . we obviously reﬂect. w e learn from the things that we do. but i think it's important for companies to try things, for companies to learn and adapt. when you make a decision that you think is a wrong decision for shareholders and the ﬁrm, you adjust accordingly . so we're doing that and we're moving forward. the second part of the question was?",3,2023
2,5,Mike Mayo,question,question, how much does roe improve simply by discarding of your extra principal investments and the remaining consumer businesses you want to get rid of?,3,2023
3,5,David Solomon,answer,answer," well, i think we've given you a bunch of transparency , mike, just looking at this. but if you look at what created a drag to roe this quarter , 75% of the drag to roe this quarter were the impairments and the rough [indiscernible] on the historical principal investments. and if you look over the last few quarters, the most signiﬁcant impact on roe performance has been the historical principal investments. now also, there were beneﬁts from those historical principal investments historically . but in this environment, obviously , you don't see that. w e think it's a better business to release that capital and run a fund business, a lower capital fund business, and so we're driving that. i think earlier in the call, we talked about the through-the-cycle performance of the banking and markets business. you can see the banking and markets roe right now and also the forward roe of the asset & w ealth management business with less capital in it. the drag from the platforms is getting smaller . and over the next 12 to 24 months, it will get smaller , too, hopefully eradicated. and so that will give you a cleaner roe that we continue to believe can be mid-teens through the cycle.",3,2023
4,5,Mike Mayo,question,question," and then what is your ability and appetite for more buybacks? basel iii, of course. but to the extent that you're discarding of the principal investments, that theoretically should free up more capital for either buybacks or reinvestment elsewhere. kind of what are your plans and what are your limitations?",3,2023
5,5,David Solomon,answer,answer," yes. so i think denis highlighted this in the prepared remarks. w e've built a pretty big cushion and buf fer, given that we successfully reduced our scd based on actions we're taking. w e think that under the stress test, as we continue to reduce principal investments, we will have more beneﬁt to scd. now obviously , basel is out there and it's uncertain, so we're, at the moment, operating a little bit more conservatively around that, and we've highlighted that we probably will be a little bit more conservative on buybacks until we have more clarity . but we will continue to buy back stock. w e will continue to pay our dividend. and as we have clarity under this strategy , there should be meaningfully more capital release, which could ultimately beneﬁt to further buyback. but at the moment, we'd like -- we're going to be a little bit more cautious and have a little bit more clarity around the capital rules before we ﬂow ahead.",3,2023
6,5,Mike Mayo,question,question, all right thank you.,3,2023
