question_order,question_answer_group_id,speaker,role,company,content,year,quarter,content_type,score,label
73,1,Saul Martinez,Analyst,Inc.,"Hey. Good morning. I'm not going to ask about a specific NII in 2025, but I did want to delve into the how to think about you r deposit margin in
volume dynamics in the CCB over the next few years. You have seen a decent amount of pressure in the deposit ma rgin, 2.6%, down about
30 basis points as deposit balances have come down, so it put some pressure on deposit NII. But deposit margins are still wel l above where
they were when rates were at levels that are consistent with where the forward curve now has b een going. So I guess how do we think about
both volumes and margin dynamics if rates do come down, say, to the level that are consistent with the forward curve? I know the forward
curve is likely going to be long, but that's the reference point we have.
And conversely, volume offset. You mentioned, Jeremy, the retail deposits becoming a tailwind. But, I guess, how much of a ta ilwind could
they be, especially as you are expecting to gain quite a bit of market share in retail deposits? So just give us a sen se of sort of the push and
pull of these dynamics that really help drive the deposit, the value of the deposit franchise.",2024,3,question,0.8628947734832764,negative
27,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"So, we are never going to tell the market what we're going to do. You all know that everybody is out there modeling these things, trading
against these things. So, steady consistent buyers in the marketplace who are so predictable are making a mistake.",2024,4,answer,0.7221865057945251,negative
29,0,Matt O’Connor,Analyst,Inc.,"Good morning. It seems like you guys have backed off the view that you're materially over-earning on net interest income. And is this all
because of the higher rate environment that's expected now? Or is it also partly a different view on deposit pricing, specifically on the
consumer side, which I think you had assumed it would reprice a bit more than we've seen?",2024,4,question,0.7946912050247192,negative
32,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,Yeah. It is worth noting that NII ex. Markets is down year-on-year. So there's some normalization there.,2024,4,answer,0.9052926898002625,negative
45,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"I would just point the biggest driver of credit has been and always will be unemployment. That's both in the consumer side and it bleeds into
the corporate side. It bleeds into mortgages, sub-prime, credit card. So, really, it's your forecast of unemployment, which you have to make
your own, which will determine that over time. And so, the second thing you said, vulnerabilities, it's unemployment, but the worst case would
be stagflation. Higher rates with higher unemployment will drive higher credit losses literally across the board. We're not predicting that, but
you just asked where the vulnerability is, that's the vulnerability.",2024,4,answer,0.5553776025772095,negative
3,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah, that's a good question, Ken. You're right. So if you remember, last quarter we said that we had one cut in the curve. I think latest curve has
something like three cuts. And so, we've talked a lot, obviously, about how we are asset sensitive. You now see our EaR disclosed in the
supplement, and probably our empirical EaR is a little bit higher than our modeled EaR as a result of the relatively low – lower than modeled
rates paid in Consumer. So when you put that together, all else equal, the drop in the weighted-average IORB, which is about 22 basis points,
should produce a notable headwind in our NII ex. Markets.",2025,1,answer,0.8586145043373108,negative
10,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,"Everyone trades stocks in a different way, so sentiment – but banks are a cork in the ocean when it comes to the economy. If the economy gets
worse, credit losses will go up, volumes can change, deal curves can change. And we're not predicting all of that. What I would say is our
excellent economist, Michael Feroli, I called him this morning, specifically to ask him, how they're looking at their forecast today, they think it's
about 50-50 for a recession. So I'll just refer to that. Obviously, if there's a recession, credit losses will go up and other factors will change, too.
And I think the one thing I'll add to what Jeremy said is – and I don't usually pay that much attention to anecdotes, but this time I am. And I think
you're going to see a lot of companies – you guys – not you, but the analyst community has already reduced its earnings estimates for the S&P
by 5%. So it's – now it's up 5% as opposed to up 10%. My guess is that will be zero and negative 5%, probably in the next month.
And then you're going to hear 1,000 companies report, and they're going to tell you what their guidance is. My guess is a lot will remove it.
They're going to tell you what they think it might do to their customers, their base, their earnings, their cost, their tariffs. It's different for every
company. But I assume you'll see that. And anecdotally, a lot of people are not doing things because of this. They're going to wait and see. And
that's M&A, that's M&A with middle market companies, that's people's hiring plans and stuff like that. So people have to adjust to this new
environment. And I think we'll see what it is.
I just also want to point out, just to – so you can round it up. This is to make you feel comfortable, not uncomfortable. When COVID hit,
unemployment went from like 4% to 15% in a couple of months, and we had to add to reserves in a two-month period of $15 billion. And then to
show you how stupid CECL is, in the three month – three quarter period, we took down the $15 billion. So, just – that just sizes up a bad
recession. If it's a mild recession, it will be less than that. If it's a really bad recession, it will be more than that. Either way, we can handle it and
serve our clients. Earnings won't be great and the stocks will go down, which I look at as an opportunity to buy back more stock.",2025,1,answer,0.5515977740287781,negative
16,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,We should have not given you that forecast. We don't know what the number is going to be. That's a...,2025,1,answer,0.5308250188827515,negative
28,0,Jeremy Barnum,CFO,JP Morgan Chase & Co.,"Yeah, it's a good question and we're seeing that too. So let me talk about travel. I mean we obviously saw the airlines discuss what they are
seeing as headwinds for them, specifically in airline travel, and we're seeing that too through the card spend. It's not obvious to us that that's
necessarily an indicator for broader patterns. There are a variety of potential explanations for the narrow drop in airline spend.
And as I mentioned previously, another thing that we are seeing looking at the April data is what would appear to be a little bit of front-loading
of spending, specifically in items that might be – have prices go up as a function of tariffs. So you see people behaving rationally, and I have
noted even you hear anecdotes, and I've seen evidence of companies specifically advertising we have pre-tariff inventory and so on and so
forth. So it's not that surprising that you're seeing that a little bit in the spending data.
The other thing that people are kind of interested in this space is like what's happening by income band, because we have seen some of the
retailers and other folks talking about weaknesses in the lower income segment. And I think when we look at our Card data and also our cash
buffers and peoples' checking accounts, of course, it is true that it is relatively weaker in the lower income segment. But when you take a step
back and you ask, are we seeing signs of distress in the lower income segment? The answer is no. So, sure, the margin and cash buffers are
lower, and you see some rotation of spend and spending is a little bit weaker than it was in the peak spending moments. But actually, some of
the increases in spending that we're seeing in April are actually coming from the lower income segment. So no evidence of distress, I would
say.",2025,1,answer,0.7479987144470215,negative
31,0,Jamie Dimon,CEO,JP Morgan Chase & Co.,Delinquencies in Home Lending.,2025,1,answer,0.8905829191207886,negative
89,0,Mike Mayo,Analyst,Wells Fargo,"No, and you also mentioned hundreds of billions of dollars of extra lending if you reduce the CET1 ratio, I guess, back down by one-fifth.",2025,1,question,0.487081378698349,negative
